"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000015765532";"1";"20190103";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190104";"Brasil";"Santa Catarina";"Chapecó";"Veículo Oficial";"1,00";"Sim"
"0000000000015765532";"2";"20190104";"Brasil";"Santa Catarina";"Chapecó";"20190104";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Oficial";",50";"Não"
"0000000000015765620";"2";"20190104";"Brasil";"Distrito Federal";"Brasília";"20190104";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Não"
"0000000000015765620";"1";"20190104";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015765738";"1";"20190108";"Brasil";"Paraíba";"João Pessoa";"20190108";"Brasil";"Paraíba";"Campina Grande";"Veículo Oficial";",00";"Sim"
"0000000000015765738";"2";"20190108";"Brasil";"Paraíba";"Campina Grande";"20190108";"Brasil";"Paraíba";"João Pessoa";"Veículo Oficial";",50";"Não"
"0000000000015765742";"1";"20190108";"Brasil";"Paraíba";"João Pessoa";"20190108";"Brasil";"Paraíba";"Campina Grande";"Veículo Oficial";",00";"Sim"
"0000000000015765742";"2";"20190108";"Brasil";"Paraíba";"Campina Grande";"20190108";"Brasil";"Paraíba";"João Pessoa";"Veículo Oficial";",50";"Não"
"0000000000015765773";"2";"20190109";"Brasil";"Distrito Federal";"Brasília";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015765773";"1";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190109";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015765872";"2";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015765872";"1";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015765920";"2";"20190111";"Brasil";"Ceará";"Camocim";"20190111";"Brasil";"Ceará";"Acaraú";"Veículo Oficial";",50";"Não"
"0000000000015765920";"1";"20190110";"Brasil";"Ceará";"Acaraú";"20190111";"Brasil";"Ceará";"Camocim";"Veículo Oficial";"1,00";"Sim"
"0000000000015766013";"2";"20190131";"Brasil";"Distrito Federal";"Brasília";"20190131";"Brasil";"São Paulo";"São Paulo";"Aéreo";",50";"Não"
"0000000000015766013";"1";"20190130";"Brasil";"São Paulo";"São Paulo";"20190131";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"1,00";"Sim"
"0000000000015766072";"1";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"20190107";"Brasil";"Minas Gerais";"Sabará";"Veículo Oficial";",00";"Sim"
"0000000000015766072";"2";"20190107";"Brasil";"Minas Gerais";"Sabará";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015766079";"1";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"20190107";"Brasil";"Minas Gerais";"Sabará";"Veículo Oficial";",00";"Sim"
"0000000000015766079";"2";"20190107";"Brasil";"Minas Gerais";"Sabará";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015766161";"1";"20190108";"Brasil";"Minas Gerais";"Teófilo Otoni";"20190108";"Brasil";"Minas Gerais";"Pavão";"Veículo Oficial";",00";"Sim"
"0000000000015766161";"2";"20190108";"Brasil";"Minas Gerais";"Pavão";"20190108";"Brasil";"Minas Gerais";"Teófilo Otoni";"Veículo Oficial";",00";"Não"
"0000000000015766168";"2";"20190102";"Brasil";"Espírito Santo";"São Mateus";"20190102";"Brasil";"Espírito Santo";"Vitória";"Veículo Oficial";",00";"Não"
"0000000000015766168";"1";"20190102";"Brasil";"Espírito Santo";"Vitória";"20190102";"Brasil";"Espírito Santo";"São Mateus";"Veículo Oficial";",00";"Sim"
"0000000000015766177";"2";"20190108";"Brasil";"Paraná";"Pitanga";"20190108";"Brasil";"Paraná";"Guarapuava";"Veículo Oficial";",50";"Não"
"0000000000015766177";"1";"20190108";"Brasil";"Paraná";"Guarapuava";"20190108";"Brasil";"Paraná";"Pitanga";"Veículo Oficial";",00";"Sim"
"0000000000015766225";"1";"20190109";"Brasil";"Distrito Federal";"Brasília";"20190109";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015766225";"2";"20190109";"Brasil";"São Paulo";"São Paulo";"20190109";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015766454";"1";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015766454";"2";"20190110";"Brasil";"São Paulo";"São Paulo";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015766459";"1";"20190107";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190107";"Brasil";"Rio Grande do Sul";"Cruz Alta";"Veículo Oficial";",00";"Sim"
"0000000000015766459";"2";"20190107";"Brasil";"Rio Grande do Sul";"Cruz Alta";"20190107";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015766513";"1";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Pedro Leopoldo";"Veículo Oficial";",00";"Sim"
"0000000000015766513";"2";"20190109";"Brasil";"Minas Gerais";"Pedro Leopoldo";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015766515";"1";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Pedro Leopoldo";"Veículo Oficial";",00";"Sim"
"0000000000015766515";"2";"20190109";"Brasil";"Minas Gerais";"Pedro Leopoldo";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015766525";"1";"20190108";"Brasil";"Minas Gerais";"Belo Horizonte";"20190108";"Brasil";"Minas Gerais";"Contagem";"Veículo Oficial";",00";"Sim"
"0000000000015766525";"2";"20190108";"Brasil";"Minas Gerais";"Contagem";"20190108";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015766529";"1";"20190107";"Brasil";"São Paulo";"Rancharia";"20190111";"Brasil";"São Paulo";"Estrela D,Oeste";"Veículo Próprio";"4,00";"Sim"
"0000000000015766529";"2";"20190111";"Brasil";"São Paulo";"Estrela D,Oeste";"20190111";"Brasil";"São Paulo";"Rancharia";"Veículo Próprio";",50";"Não"
"0000000000015766539";"1";"20190108";"Brasil";"Minas Gerais";"Belo Horizonte";"20190108";"Brasil";"Minas Gerais";"Contagem";"Veículo Oficial";",00";"Sim"
"0000000000015766539";"2";"20190108";"Brasil";"Minas Gerais";"Contagem";"20190108";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015766653";"1";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015766653";"2";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015766690";"2";"20190108";"Brasil";"Rio Grande do Sul";"Santa Rosa";"20190108";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015766690";"1";"20190108";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190108";"Brasil";"Rio Grande do Sul";"Santa Rosa";"Veículo Oficial";",00";"Sim"
"0000000000015766814";"2";"20190109";"Brasil";"Piauí";"Floriano";"20190109";"Brasil";"Piauí";"Oeiras";"Veículo Oficial";",50";"Não"
"0000000000015766814";"1";"20190109";"Brasil";"Piauí";"Oeiras";"20190109";"Brasil";"Piauí";"Floriano";"Veículo Oficial";",00";"Sim"
"0000000000015766865";"2";"20190108";"Brasil";"Rio Grande do Sul";"Chuí";"20190108";"Brasil";"Rio Grande do Sul";"Rio Grande";"Veículo Oficial";",00";"Não"
"0000000000015766865";"1";"20190108";"Brasil";"Rio Grande do Sul";"Rio Grande";"20190108";"Brasil";"Rio Grande do Sul";"Chuí";"Veículo Oficial";",00";"Sim"
"0000000000015766870";"2";"20190108";"Brasil";"Rio Grande do Sul";"Chuí";"20190108";"Brasil";"Rio Grande do Sul";"Rio Grande";"Veículo Oficial";",00";"Não"
"0000000000015766870";"1";"20190108";"Brasil";"Rio Grande do Sul";"Rio Grande";"20190108";"Brasil";"Rio Grande do Sul";"Chuí";"Veículo Oficial";",00";"Sim"
"0000000000015766871";"2";"20190108";"Brasil";"Rio Grande do Sul";"Chuí";"20190108";"Brasil";"Rio Grande do Sul";"Rio Grande";"Veículo Oficial";",50";"Não"
"0000000000015766871";"1";"20190108";"Brasil";"Rio Grande do Sul";"Rio Grande";"20190108";"Brasil";"Rio Grande do Sul";"Chuí";"Veículo Oficial";",00";"Sim"
"0000000000015766878";"1";"20190109";"Brasil";"São Paulo";"Marília";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"Veículo Oficial";",00";"Sim"
"0000000000015766878";"2";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"20190109";"Brasil";"São Paulo";"Marília";"Veículo Oficial";",00";"Não"
"0000000000015766883";"1";"20190109";"Brasil";"São Paulo";"Marília";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"Veículo Oficial";",00";"Sim"
"0000000000015766883";"2";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"20190109";"Brasil";"São Paulo";"Marília";"Veículo Oficial";",00";"Não"
"0000000000015766892";"1";"20190109";"Brasil";"São Paulo";"Marília";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"Veículo Oficial";",00";"Sim"
"0000000000015766892";"2";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"20190109";"Brasil";"São Paulo";"Marília";"Veículo Oficial";",00";"Não"
"0000000000015767063";"2";"20190110";"Brasil";"Espírito Santo";"Cariacica";"20190110";"Brasil";"Espírito Santo";"Vitória";"Veículo Oficial";",00";"Não"
"0000000000015767063";"1";"20190110";"Brasil";"Espírito Santo";"Vitória";"20190110";"Brasil";"Espírito Santo";"Cariacica";"Veículo Oficial";",00";"Sim"
"0000000000015767138";"1";"20190111";"Brasil";"Distrito Federal";"Brasília";"20190114";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015767138";"2";"20190114";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190114";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015767199";"1";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"Veículo Oficial";",00";"Sim"
"0000000000015767199";"2";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",50";"Não"
"0000000000015767220";"1";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"Veículo Oficial";",00";"Sim"
"0000000000015767220";"2";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015767237";"1";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"Veículo Oficial";",00";"Sim"
"0000000000015767237";"2";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015767238";"1";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"Veículo Oficial";",00";"Sim"
"0000000000015767238";"2";"20190109";"Brasil";"Rio Grande do Sul";"Porto Xavier";"20190109";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015767327";"2";"20190109";"Brasil";"Rio Grande do Sul";"Gravataí";"20190109";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Veículo Oficial";",00";"Não"
"0000000000015767327";"1";"20190109";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190109";"Brasil";"Rio Grande do Sul";"Gravataí";"Veículo Oficial";",00";"Sim"
"0000000000015767489";"1";"20190109";"Brasil";"São Paulo";"Marília";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"Veículo Oficial";",00";"Sim"
"0000000000015767489";"2";"20190109";"Brasil";"São Paulo";"Santa Cruz do Rio Pardo";"20190109";"Brasil";"São Paulo";"Marília";"Veículo Oficial";",00";"Não"
"0000000000015767554";"2";"20190110";"Brasil";"Espírito Santo";"Cariacica";"20190110";"Brasil";"Espírito Santo";"Vila Velha";"Veículo Oficial";",00";"Sim"
"0000000000015767554";"3";"20190110";"Brasil";"Espírito Santo";"Vila Velha";"20190110";"Brasil";"Espírito Santo";"Vitória";"Veículo Oficial";",00";"Não"
"0000000000015767554";"1";"20190110";"Brasil";"Espírito Santo";"Vitória";"20190110";"Brasil";"Espírito Santo";"Cariacica";"Veículo Oficial";",00";"Sim"
"0000000000015767568";"2";"20190109";"Brasil";"Rio Grande do Sul";"Venâncio Aires";"20190109";"Brasil";"Rio Grande do Sul";"Santa Cruz do Sul";"Veículo Oficial";",00";"Não"
"0000000000015767568";"1";"20190109";"Brasil";"Rio Grande do Sul";"Santa Cruz do Sul";"20190109";"Brasil";"Rio Grande do Sul";"Venâncio Aires";"Veículo Oficial";",00";"Sim"
"0000000000015767621";"2";"20190109";"Brasil";"Rio Grande do Sul";"Boa Vista do Sul";"20190109";"Brasil";"Rio Grande do Sul";"Caxias do Sul";"Veículo Oficial";",00";"Não"
"0000000000015767621";"1";"20190109";"Brasil";"Rio Grande do Sul";"Caxias do Sul";"20190109";"Brasil";"Rio Grande do Sul";"Boa Vista do Sul";"Veículo Oficial";",00";"Sim"
"0000000000015767784";"2";"20190111";"Brasil";"Rio Grande do Sul";"Sertão Santana";"20190111";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Veículo Oficial";",00";"Não"
"0000000000015767784";"1";"20190111";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Rio Grande do Sul";"Sertão Santana";"Veículo Oficial";",00";"Sim"
"0000000000015767806";"1";"20190108";"Brasil";"Paraná";"Maringá";"20190108";"Brasil";"Paraná";"Cianorte";"Veículo Oficial";",00";"Sim"
"0000000000015767806";"2";"20190108";"Brasil";"Paraná";"Cianorte";"20190108";"Brasil";"Paraná";"Maringá";"Veículo Oficial";",50";"Não"
"0000000000015767808";"1";"20190109";"Brasil";"Paraná";"Maringá";"20190109";"Brasil";"Paraná";"Cianorte";"Veículo Oficial";",00";"Sim"
"0000000000015767808";"2";"20190109";"Brasil";"Paraná";"Cianorte";"20190109";"Brasil";"Paraná";"Maringá";"Veículo Oficial";",50";"Não"
"0000000000015767813";"1";"20190110";"Brasil";"Paraná";"Maringá";"20190110";"Brasil";"Paraná";"Cianorte";"Veículo Oficial";",00";"Sim"
"0000000000015767813";"2";"20190110";"Brasil";"Paraná";"Cianorte";"20190110";"Brasil";"Paraná";"Maringá";"Veículo Oficial";",50";"Não"
"0000000000015767983";"2";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015767983";"1";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015768179";"2";"20190111";"Brasil";"Distrito Federal";"Brasília";"20190111";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",50";"Não"
"0000000000015768179";"1";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"1,00";"Sim"
"0000000000015768184";"2";"20190112";"Brasil";"Distrito Federal";"Brasília";"20190112";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015768184";"1";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190112";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"3,00";"Sim"
"0000000000015768219";"1";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"20190112";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"3,00";"Sim"
"0000000000015768219";"2";"20190112";"Brasil";"Distrito Federal";"Brasília";"20190112";"Brasil";"Minas Gerais";"Belo Horizonte";"Aéreo";",50";"Não"
"0000000000015768250";"1";"20190121";"Brasil";"Distrito Federal";"Brasília";"20190127";"Espanha";"";"Madri";"Aéreo";"5,50";"Sim"
"0000000000015768250";"2";"20190127";"Espanha";"";"Madri";"20190128";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"1,50";"Não"
"0000000000015768276";"2";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Divinópolis";"Veículo Oficial";",50";"Não"
"0000000000015768276";"1";"20190109";"Brasil";"Minas Gerais";"Divinópolis";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Sim"
"0000000000015768336";"2";"20190108";"Brasil";"São Paulo";"Santo Antônio do Aracanguá";"20190108";"Brasil";"São Paulo";"Araçatuba";"Veículo Oficial";",00";"Não"
"0000000000015768336";"1";"20190108";"Brasil";"São Paulo";"Araçatuba";"20190108";"Brasil";"São Paulo";"Santo Antônio do Aracanguá";"Veículo Oficial";",00";"Sim"
"0000000000015768352";"2";"20190109";"Brasil";"São Paulo";"Guararapes";"20190109";"Brasil";"São Paulo";"Araçatuba";"Veículo Oficial";",00";"Não"
"0000000000015768352";"1";"20190109";"Brasil";"São Paulo";"Araçatuba";"20190109";"Brasil";"São Paulo";"Guararapes";"Veículo Oficial";",00";"Sim"
"0000000000015768598";"2";"20190110";"Brasil";"Espírito Santo";"Cariacica";"20190110";"Brasil";"Espírito Santo";"Vila Velha";"Veículo Oficial";",00";"Sim"
"0000000000015768598";"3";"20190110";"Brasil";"Espírito Santo";"Vila Velha";"20190110";"Brasil";"Espírito Santo";"Vitória";"Veículo Oficial";",00";"Não"
"0000000000015768598";"1";"20190110";"Brasil";"Espírito Santo";"Vitória";"20190110";"Brasil";"Espírito Santo";"Cariacica";"Veículo Oficial";",00";"Sim"
"0000000000015768720";"1";"20190110";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"20190110";"Brasil";"Rio Grande do Sul";"Porto Xavier";"Veículo Oficial";",00";"Sim"
"0000000000015768720";"2";"20190110";"Brasil";"Rio Grande do Sul";"Porto Xavier";"20190110";"Brasil";"Rio Grande do Sul";"Santo Ângelo";"Veículo Oficial";",00";"Não"
"0000000000015768845";"1";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015768845";"2";"20190110";"Brasil";"São Paulo";"São Paulo";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015768848";"2";"20190110";"Brasil";"Roraima";"Amajari";"20190110";"Brasil";"Roraima";"Uiramutã";"Veículo Oficial";",00";"Sim"
"0000000000015768848";"1";"20190110";"Brasil";"Roraima";"Boa Vista";"20190110";"Brasil";"Roraima";"Amajari";"Veículo Oficial";",00";"Sim"
"0000000000015768848";"3";"20190110";"Brasil";"Roraima";"Uiramutã";"20190110";"Brasil";"Roraima";"Boa Vista";"Veículo Oficial";",00";"Não"
"0000000000015768890";"2";"20190110";"Brasil";"Roraima";"Amajari";"20190110";"Brasil";"Roraima";"Uiramutã";"Veículo Oficial";",00";"Sim"
"0000000000015768890";"1";"20190110";"Brasil";"Roraima";"Boa Vista";"20190110";"Brasil";"Roraima";"Amajari";"Veículo Oficial";",00";"Sim"
"0000000000015768890";"3";"20190110";"Brasil";"Roraima";"Uiramutã";"20190110";"Brasil";"Roraima";"Boa Vista";"Veículo Oficial";",00";"Não"
"0000000000015768920";"2";"20190101";"Brasil";"Distrito Federal";"Brasília";"20190101";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015768920";"1";"20190101";"Brasil";"São Paulo";"São Paulo";"20190101";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015769173";"1";"20190111";"Brasil";"Minas Gerais";"Teófilo Otoni";"20190111";"Brasil";"Minas Gerais";"Malacacheta";"Veículo Oficial";",00";"Sim"
"0000000000015769173";"2";"20190111";"Brasil";"Minas Gerais";"Malacacheta";"20190111";"Brasil";"Minas Gerais";"Teófilo Otoni";"Veículo Oficial";",00";"Não"
"0000000000015769225";"2";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190102";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015769225";"1";"20190102";"Brasil";"São Paulo";"São Paulo";"20190102";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015769387";"1";"20190103";"Brasil";"Distrito Federal";"Brasília";"20190103";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015770224";"2";"20190114";"Brasil";"Espírito Santo";"Cariacica";"20190114";"Brasil";"Espírito Santo";"Vitória";"Veículo Oficial";",00";"Não"
"0000000000015770224";"1";"20190114";"Brasil";"Espírito Santo";"Vitória";"20190114";"Brasil";"Espírito Santo";"Cariacica";"Veículo Oficial";",00";"Sim"
